FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,23118,@Mem,81,28.15,4.62,7.90,1.43,1.30,3.46,51.000,90.500,42.18
DeMarcus,Cousins,Sac,C,21163,@Ind,75,17.07,2.65,9.95,1.44,0.73,3,46.500,73.800,30.39
Carmelo,Anthony,NY,F,18987,@Cha,67,28.66,2.55,6.87,0.78,0.48,2.61,44.900,83.000,34.19
Pau,Gasol,LAL,C,17894,Cle,49,13.73,4.08,8.59,0.49,1.24,2.12,46.600,70.200,28.25
Rudy,Gay,Sac,F,16413,@Ind,75,18.21,2.69,6.15,1.51,0.71,2.64,41.600,81.400,26.48
Kyrie,Irving,Cle,G,16162,@LAL,59,22.46,5.93,3.66,1.51,0.36,3.24,45.200,85.500,31.10
Zach,Randolph,Mem,F,16026,OKC,76,15.38,1.42,11.24,0.80,0.41,1.97,46.000,75.00,27.88
Paul,George,Ind,F,15935,Sac,79,17.43,4.14,7.63,1.81,0.65,2.95,41.900,80.700,30.48
Marc,Gasol,Mem,C,15788,OKC,80,14.09,3.98,7.78,1,1.74,1.96,49.400,84.800,30.23
Mike,Conley,Mem,G,15660,OKC,80,14.6,6.09,2.81,2.18,0.3,2.36,44.000,83.000,26.25
Isaiah,Thomas,Sac,G,15597,@Ind,79,13.92,4,2.04,0.85,0.04,1.77,44.000,88.200,19.31
Kemba,Walker,Cha,G,14865,NY,82,17.74,5.74,3.45,1.95,0.38,2.44,42.300,79.800,28.06
Al,Jefferson,Cha,C,14832,NY,78,17.83,2.10,9.23,1.03,1.14,1.35,49.400,77.000,31.19
Anderson,Varejao,Cle,C,14306,@LAL,25,14.12,3.36,14.44,1.48,0.56,1.76,47.800,75.500,36.01
Serge,Ibaka,OKC,F,13748,@Mem,80,13.19,0.54,7.71,0.35,3.02,1.56,57.300,74.900,26.45
Luol,Deng,Cle,F,12993,@LAL,75,16.49,2.96,6.35,1.08,0.43,1.92,42.600,81.600,25.43
Kendall,Marshall,LAL,G,12878,Cle,48,2.98,2.98,0.88,0.46,0.08,1.19,37.100,57.100,7.39
David,West,Ind,F,12722,Sac,73,17.12,2.92,7.71,1.01,0.95,2.15,49.800,76.800,28.93
Lance,Stephenson,Ind,G,12568,Sac,78,8.81,2.86,3.90,1.04,0.21,1.40,46.000,65.200,16.73
Tyson,Chandler,NY,C,12363,@Cha,66,10.44,0.94,10.65,0.64,1.14,1.32,63.800,69.400,25.69
Reggie,Jackson,OKC,G,11960,@Mem,70,5.34,1.74,2.37,0.41,0.19,0.76,45.800,83.900,10.04
Roy,Hibbert,Ind,C,11932,Sac,79,11.86,1.43,8.30,0.49,2.61,2.05,44.800,74.100,25.17
Iman,Shumpert,NY,F,11787,@Cha,45,6.78,1.67,3.02,0.96,0.16,0.82,39.600,76.600,12.49
Raymond,Felton,NY,G,11758,@Cha,68,13.94,5.47,2.85,1.38,0.21,2.28,42.700,78.900,22.70
Tristan,Thompson,Cle,F,11704,@LAL,82,11.67,1.32,9.43,0.73,0.87,1.5,48.800,60.800,23.94
Gerald,Henderson,Cha,G,11663,NY,68,15.51,2.60,3.68,1,0.5,1.59,44.700,82.400,21.54
Ed,Davis,Mem,F,10896,OKC,81,7.69,0.78,5.68,0.47,1.05,0.78,53.900,61.700,16.45
Jodie,Meeks,LAL,G,10855,Cle,78,7.92,0.88,2.19,0.74,0.06,0.67,38.700,89.600,10.79
C.J.,Miles,Cle,G,10703,@LAL,65,11.22,0.97,2.68,0.75,0.26,1.06,41.500,86.900,14.12
Andrea,Bargnani,NY,C,10695,@Cha,35,12.66,1.09,3.66,0.6,0.66,1.54,39.900,84.400,16.00
James,Johnson,Mem,F,10682,OKC,54,5.11,1.07,2.69,0.76,0.93,1.26,41.300,59.700,10.40
Kosta,Koufos,Mem,C,10237,OKC,81,8,0.40,6.94,0.54,1.27,0.65,58.100,55.800,18.64
Jordan,Hill,LAL,F,10047,Cle,29,6.69,0.45,5.72,0.28,0.66,0.90,49.700,65.600,13.78
Nick,Young,LAL,G,9951,Cle,59,10.64,1.42,2.20,0.61,0.24,0.85,41.300,82.000,13.49
Beno,Udrih,NY,G,9914,@Cha,66,8.15,4.58,2.14,0.62,0.05,1.64,44.100,81.600,15.22
Jason,Thompson,Sac,F,9746,@Ind,82,10.87,1.02,6.70,0.59,0.74,1.23,50.200,69.400,19.55
Jon,Leuer,Mem,F,9543,OKC,28,2,0.29,1.32,0.21,0,0.29,48.100,46.200,3.62
Tony,Allen,Mem,G,9465,OKC,79,8.92,1.24,4.59,1.51,0.56,1.19,44.500,71.700,16.89
Josh,McRoberts,Cha,F,9113,NY,67,5.99,2.10,4.85,0.48,0.40,0.99,45.500,76.500,14.44
Courtney,Lee,Mem,G,8796,OKC,78,7.85,1.83,2.44,1.14,0.27,1.08,46.400,86.100,13.50
Dion,Waiters,Cle,G,8528,@LAL,61,14.66,3,2.44,0.97,0.26,1.98,41.200,74.600,18.32
